"company","stand","category","country"
"DEVEX VERFAHRENSTECHNIK GMBH","C3-AV61","ProcessingTechAsia","GERMANY"
"DEVKI PUBLICATION & ADVERTISING","C1-AA83","N/A","INDIA"
"DHARMANANDAN TECHNO PROJECTS PRIVATE LIMITED","C3-AY60","ProcessingTechAsia","INDIA"
"DIAMAT MASACHINENBAU GMBH","C2-U35","PackagingSolutionsAsia","GERMANY"
"DIGITAL SCALE AND ENGINEERING CO., LTD.","C3-AS62","ProcessingTechAsia","THAILAND"
"DINGZHENG INTELLIGENT EQUIPMENT MANUFACTURING CO., LTD.","C2-Z65","PackagingTechAsia","CHINA"
"DMG COMPRESSOR (THAILAND) CO., LTD.","C2-AH66","PackagingTechAsia","THAILAND"
"DOMINO ASIA PTE LTD.","C2-AC54","PhamaTechAsia","UK"
"DONGGUAN JINJIU AUTOMATION TECHNOLOGY CO., LTD.","C1-L62","PackagingTechAsia","CHINA"
"DONGGUAN TIANJIA INDUSTRIAL CO., LTD.","C3-BA43","ProcessingTechAsia","CHINA"
"DONGGUAN ZHITENG PLASTIC PRODUCT CO., LTD.","C2-Z29","PackagingTechAsia","CHINA"
"DONGHANG GRAPHIC TECHNOLOGY INC","C3-BA10","ProcessingTechAsia","CHINA"
"DOOKOO INTELLIGENT EQUIPMENT (CHANGSHU) CO., LTD","C1-B54","Digitalization","CHINA"
"DOOKOO INTELLIGENT EQUIPMENT (CHANGSHU) CO., LTD.","C1-B54","Digitalization","CHINA"
"DORNER (M) SDN. BHD.","C1-P78","PackagingTechAsia","MALAYSIA"
"DOUBLE NINE PART SERVICE CO., LTD.","C2-AD77","PhamaTechAsia","THAILAND"
"DQ PACK CHINA","C2-X70","PackagingTechAsia","CHINA"
"D-SMART CO.,LTD.","C1-G28-1","Coding,Marking&LabellingAsia","THAILAND"
"DTERM (TH) CO., LTD.","C3-AU67","ProcessingTechAsia","THAILAND"
"DURATRAY CO., LTD.","C3-BA49","ProcessingTechAsia","THAILAND"
"DURATRAY CO.,LTD","C3-BA49","ProcessingTechAsia","THAILAND"
"DURAVANT GROUP","C2-AA16","PackagingTechAsia","USA"
