Contract Number,Contract Title,Date of award,Nature of Works,Tendering Procedure,Contractor(s),Original Contract Sum,url,Commencement Date,Original Completion Date,Location,Contract Value
1714EM23T,Triennial Term Contract for The Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package Two of SC19),Jul 2024,includes comprehensive maintenance and repairing of lift installation at various premises of the Government of the Hong Kong Special Administrative Region,Open,Holake Hong Kong Lifts Limited,"$36,135,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5285.html,,,,
2206EM23T,"Triennial Term Contract for Overhaul, Maintenance and Related Works of Water Treatment Installations at Various Swimming Pools in Hong Kong Special Administrative Region",Jul 2024,Swimming Pool Water Treatment Installation,Selective,"The Jardine Engineering Corporation, Limited","$197,566,200.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5312.html,,,,
2482EM23T,Triennial Term Contract for Operation and Maintenance of Air-conditioning Installations and Other Associated Facilities at Attended Municipal Venues in Kowloon,Jul 2024,Air-conditioning Installation,Selective,"Wenden Engineering Service Company, Limited","$84,498,668.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5317.html,,,,
1723EM23T,Triennial Term Contract for the Maintenance and Repair of Burglar Alarm and Security Installation at Various Municipal Venues for the Government of the Hong Kong Special Administrative Region,Jun 2024,Burglar Alarm and Security Installation,Selective,G4S Security Systems (Hong Kong) Limited,"$10,297,120.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5283.html,,,,
2084EM23T,Triennial Term Contract for Operation and Maintenance of Air-conditioning Installations for Various Venues of Security and Vehicle Services Division in Kowloon Cluster,May 2024,Air-conditioning Installation,Selective,Young's Engineering Company Limited,"$93,316,656.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5301.html,,,,
2497EM23T,"Provision of Maintenance and Modification Works of Data Acquisition Systems of Free-flow Tolling System in Lion Rock Tunnel, Shing Mun Tunnels and Tsing Sha Control Area (12 Months)",May 2024,"provide the maintenance service and modification works of Data Acquisition Systems of Free-flow Tolling System in Lion Rock Tunnel, Shing Mun Tunnels and Tsing Sha Control Area",Open,Autotoll Limited,"$22,390,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5300.html,,,,
2350EM23T,"Five-year Term Contract for Maintenance, Modification and Installation Works of Sydney Coordinated Adaptive Traffic System (SCATS)",May 2024,"maintenance, modification and installation works for the Sydney Coordinated Adaptive Traffic System (SCATS) of Hong Kong Island, Tai Po and North District as well as provision of first line maintenance for traffic signals and accessories equipment",Open,Shun Hing Systems Integration Company Limited,"$53,029,628",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5302.html,,,,
1240EM23T,Triennial Term Contract for the Engineering Services for E&M and Other Installations at Crematoria and Columbaria of the Government of the Hong Kong Special Administrative Region,May 2024,Electrical Installation,Selective,M & V Engineering (E & M) Limited,"$138,962,220.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5308.html,,,,
1836EM23T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (SG24),May 2024,comprehensive maintenance and repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region,Open,SIGMA Elevator (HK) Limited,"$53,035,200.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5289.html,,,,
2151EM23T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of TO23),May 2024,comprehensive maintenance and repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region,Open,Chevalier (HK) Limited,"$70,598,950.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5284.html,,,,
2122EM23T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of FT23),May 2024,comprehensive maintenance and repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region,Open,Fujitec (HK) Company Limited,"$23,468,564.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5286.html,,,,
1013EM22T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of FT22E),May 2024,comprehensive maintenance and repair of escalator installations at various premises of the Government of the Hong Kong Special Administrative Region,Open,Fujitec (HK) Company Limited,"$18,533,380.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5273.html,,,,
2475EM22T,Triennial Term Contract for The Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (KO23),Apr 2024,comprehensive maintenance and repair of escalator installations at various premises of the Government of the Hong Kong Special Administrative Region,Open,Kone Elevator (HK) Limited,"$38,885,500.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5287.html,,,,
1672EM23T,Triennial Term Contract for the Provision of Maintenance Service of Fixed X-ray Vehicle Inspection System at Shenzhen Bay Control Point,Apr 2024,provision of maintenance services for Fixed X-ray Vehicle Inspection System at Shenzhen Bay Control Point,Open,Nuctech Hong Kong Company Limited,"$45,988,952.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5293.html,,,,
2326EM22T,"Triennial Term Contract for Building Services Fitting-Out Works, Replacement and Improvement Works to Health Sector Venues in New Territories West Region",Apr 2024,Air Conditioning Installation,Selective,Quad-Tech Engineering (H.K.) Company Limited,"$95,079,279.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5238.html,,,,
1778EM23T,"Triennial Term Contract for Operation and Maintenance of Electrical, Mechanical and Other Installations at Municipal Venues in Hong Kong Region",Apr 2024,Electrical Installation,Selective,Interlite (Asia) Limited,"$163,801,250.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5291.html,,,,
2076EM23T,"Triennial Term Contract for the Maintenance of Electrical and Mechanical Installations at Hong Kong Wetland Park, Kwu Tung North Multi-welfare Services Complex and Various Premises in New Territories Region",Mar 2024,Air Conditioning Installation,Selective,REC Engineering Company Limited,"$46,526,720.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5280.html,,,,
1252EM23T,Triennial Term Contract for Operation and Maintenance of Air-conditioning Installations in Various Venues of the Government of the Hong Kong Special Administrative Region Maintained by Kowloon Maintenance Sub-division of General Engineering Services Division,Mar 2024,Air Conditioning Installation,Selective,Westco Airconditioning Limited,"$143,738,488.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5259.html,,,,
1548EM23T,Triennial Term Contract for Engineering Maintenance Services and Other Supporting Services for Electronics Installations of the Global Maritime Distress and Safety System (GMDSS) and Vessel Traffic Services System (VTSS) for Marine Department of the Government of the Hong Kong Special Administrative Region,Mar 2024,Radio Electronics Installation,Selective,Tidalis APAC Limited,"$32,384,140.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5281.html,,,,
1557EM23T,Triennial Term Contract for Maintenance and Repair of Floodlighting Installations of Municipal Venues for the Government of the Hong Kong Special Administrative Region,Mar 2024,Electrical Installation,Selective,Joint Effort Engineering (Asia) Limited,"$137,239,730.24",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5276.html,,,,
1663EM23W,District Cooling System (DCS) at Kai Tak Development (KTD) Phase IIIR – Electrical and Mechanical Installation at Sites 1E1 and 1F1,Mar 2024,Air Conditioning Installation,Selective,"Winston Air Conditioning & Engineering (Hong Kong) Company, Limited","$32,773,816.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5288.html,,,,
2915EM21A,Design-Build-Operate Contract for the Phase 1 District Cooling System (DCS) at Kwu Tung North New Development Area (KTN NDA) (NEC4 DBOC),Feb 2024,Building Group C,Selective,CRBC-QH-REC-QTEC Joint Venture,"$1,490,541,859.20",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5241.html,,,,
1877EM23T,"Triennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Central Government Offices, Chief Executive’s Office and Legislative Council Complex, Tamar",Feb 2024,"comprehensive maintenance and repair of escalator installations at Central Government Offices, Chief Executive’s Office and Legislative Council Complex, Tamar",Open,Fujitec (HK) Company Limited,"$6,298,303.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5272.html,,,,
1507EM22W,Supply and Installation of Automatic Vehicle Clearance Support System for Goods Vehicle in Shenzhen Bay Control Point,Feb 2024,supply and Installation of the Automatic Vehicle Clearance Support System (AVCSS) installations for Hong Kong Boundary Crossing Facilities (HKBCF) at Shenzhen Bay Control Point,Open,ATAL Technologies Limited,"$22,223,800.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5253.html,,,,
2690EM22T,Triennial Term Contract for Maintenance of Automatic Vehicle Clearance Support System of Hong Kong-Zhuhai-Macao Bridge Hong Kong Port (HZMB HKP) and Shenzhen Bay Control Point (SBCP),Jan 2024,"provision of maintenance services, alteration, addition and improvement works of the Automatic Vehicle Clearance Support System of HZMB HKP and SBCP",Open,ATAL Technologies Limited,"$54,538,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5257.html,,,,
1699EM23T,Triennial Term Contract for Provision of Maintenance and Modification Works of Traffic Control and Surveillance System of Tolo-Highway,Jan 2024,the maintenance service and modification works of existing Traffic Control and Surveillance System of Tolo-Highway,Open,Win Promise Limited,"$62,888,888.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5275.html,,,,
1517EM23T,"Triennial Term Contract for Electrical, Mechanical, Air-conditioning, and Building Services Fitting-out, Replacement, and Improvement Works for Various Venues in Hong Kong Region",Jan 2024,Air Conditioning Installation,Selective,Young's Engineering Company limited,"$77,537,081.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5270.html,,,,
