Contract Number,Contract Title,Date of award,Nature of Works,Tendering Procedure,Contractor(s),Original Contract Sum,url,Commencement Date,Original Completion Date,Location,Contract Value
2487EM14W,District Cooling System (DCS) at Kai Tak Development (KTD) Phase III (Package B) – Electrical and Mechanical Installation,Aug 2015,Air-conditioning Installation,Selective,Shinryo (Hong Kong) Limited,"HK$90,233,467.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_226.html,,,,
2477EM14A,District Cooling System (DCS) at Kai Tak Development (KTD) Phase III (Package B) – Water Pipe Laying Works,Aug 2015,Roads and Drainage,Selective,China Geo-Engineering Corporation,"HK$201,002,931.54",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_225.html,,,,
1030EM13W,Replacement of CCTV System at Pik Uk Correctional Institution for Correctional Services Department,Aug 2015,Video Electronics Installation,Selective,Chubb Hong Kong Limited,"HK$3,400,575.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_214.html,,,,
1002EM15W,Replacement of LED Display System with Video Projection System at Hong Kong Coliseum,Aug 2015,Video Electronics Installation,Selective,OPS Technology Limited,"HK$8,078,257.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_238.html,,,,
1020EM15W,Supply and Installation of Sea Water Cooled Air-conditioning Installations at Air Mail Centre,Aug 2015,Air-conditioning Installation,Selective,Shun Hing E & M Engineering Limited,"HK$12,983,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_234.html,,,,
2003EM14T,Triennial Term Contract for Maintenance of Digital Red Light Camera System (Phase III) for Hong Kong Police Force,Aug 2015,"Maintenance, testing, repair, alteration, addition and modification of the Digital Red Light Camera System (Phase III) for Hong Kong Police Forece",Open,Win Promise Limited,"HK$18,188,888.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_232.html,,,,
1887EM14T,Triennial Term Contract for Maintenance of Speed Enforcement Camera System (Phase II) for Hong Kong Police Force,Aug 2015,"Maintenance, testing, repair, alteration, addition and modification of the Speed Enforcement Camera System (Phase II) for Hong Kong Police Forece",Open,QTC Traffic Technology Ltd.,"HK$19,877,706.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_231.html,,,,
1288EM14T,4-year Term Contract for Maintenance Services of Digital Trunked Radio System (Infrastructure) for Hong Kong Fire Services Department,Aug 2015,Radio Electronics Installation,Selective,Cassidian Hong Kong Limited,"HK$17,953,297.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_210.html,,,,
2249EM14T,"36-month Term Contract for Maintenance of Air-conditioning and Electrical Installations at Ruttonjee Hospital, Tung Wah Eastern Hospital and Cheshire Home Chung Hom Kok",Jul 2015,Air-conditioning Installation,Selective,Westco Airconditioning Limited,"HK$13,881,323.88",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_233.html,,,,
1033EM15T,Triennial Term Contract for Maintenance of Security and Electronic Systems at Lo Wu Correctional Institution,Jul 2015,Burglar Alarm and Security Installation,Selective,Chubb Hong Kong Limited,"HK$10,080,019.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_236.html,,,,
