"tablescraper-selected-row","tablescraper-selected-row 2","shenzhen","tablescraper-selected-row 3","shopUrl href","shopUrl src"
"CHANGZHOU YONGXU CHEMICAL CO., LTD.","9C98","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/changzhou-yongxu-chemical-co-ltd-userId-144929.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"CHENGDU AMBOSYNTH CO.,LTD.","9L38","China Mainland","Biotech","https://www.pharmasources.com/company-home/chengdu-ambosynth-coltd-userId-157263.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Chengdu Baishixing Science and Technology Industry Co., Ltd","9A82","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/chengdu-baishixing-science-and-technolog-userId-140879.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"CHENGDU CRNONO TEXTILE CO., LTD","8B56","China Mainland","Clean Technology","https://www.pharmasources.com/company-home/chengdu-crnono-textile-co-ltd-userId-146993.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Chengdu KeyFeen Technology Co., Ltd.","7C50","China Mainland","Natural Supply","https://www.pharmasources.com/company-home/chengdu-keyfeen-technology-co-ltd-userId-156690.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Chengdu Maidisen Biotechnology Co.,Ltd","9E16","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/chengdu-maidisen-biotechnology-coltd-userId-156824.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Chengdu Shengnuo Biopharm Co., Ltd","9L30","China Mainland","Biotech","https://www.pharmasources.com/company-home/chengdu-shengnuo-biopharm-co-ltd-userId-139819.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Chengdu Yacht Bio-technology Co., Ltd","9D81","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/chengdu-yacht-bio-technology-co-ltd-userId-140501.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Challenge IM (Beijing) Technology Co., LTD","8F25","China Mainland","Laboratory Instruments & Equipment","https://www.pharmasources.com/company-home/challenge-im-beijing-technology-co-ltd-userId-156978.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"CHENGDE YOUNKER PACKAGING TECHNOLOGY CO.,LTD","9B26","China Mainland","Packaging & Drug Delivery","https://www.pharmasources.com/company-home/chengde-younker-packaging-technology-col-userId-141775.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Chengda pharmaceuticals CO., LTD","9H95","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/chengda-pharmaceuticals-co-ltd-userId-139773.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"TRUKING TECHNOLOGY LIMITED","8B10","China Mainland","Pharma Machinery & Packaging Machinery","https://www.pharmasources.com/company-home/truking-technology-limited-userId-147484.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"High Grand Ocean Biotech Co., Ltd.","7E51","China Mainland","Natural Supply","https://www.pharmasources.com/company-home/high-grand-ocean-biotech-co-ltd-userId-141788.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Autran Biotech Co., Ltd.","9E80","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/autran-biotech-co-ltd-userId-146484.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Dalian Metern Measurement and Control System Co., Ltd","8G53","China Mainland","Laboratory Instruments & Equipment","https://www.pharmasources.com/company-home/dalian-metern-measurement-and-control-sy-userId-157486.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Qi-Chem Co., Ltd.","9G33","China Mainland","AI Tech & Contract Service","https://www.pharmasources.com/company-home/qi-chem-co-ltd-userId-140570.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"BBChem Co., Ltd.","9H38","China Mainland","AI Tech & Contract Service","https://www.pharmasources.com/company-home/bbchem-co-ltd-userId-140374.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"DALIAN DILIGENCE TRADE CO,.LTD.","9L01","China Mainland","Pharma Excipients","https://www.pharmasources.com/company-home/dalian-diligence-trade-coltd-userId-145771.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"INNOBIO Corporation Limited","7D01","China Mainland","Natural Supply","https://www.pharmasources.com/company-home/innobio-corporation-limited-userId-140401.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"DLAB SCIENTIFIC CO.,LTD","8G70","China Mainland","Laboratory Instruments & Equipment","https://www.pharmasources.com/company-home/dlab-scientific-coltd-userId-145086.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Daxinganling Liver-health Pharmaceutical Co., Ltd.","7H07","China Mainland","Natural Supply","https://www.pharmasources.com/company-home/daxinganling-liver-health-pharmaceutical-userId-143769.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"DIJIA PHARMACEUTICAL GROUP CO., LTD","9F56","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/dijia-pharmaceutical-group-co-ltd-userId-140109.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Di Xiang (Dali) Biotechnology Co., Ltd","7D65","China Mainland","Natural Supply","https://www.pharmasources.com/company-home/di-xiang-dali-biotechnology-co-ltd-userId-147184.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Dingli Biodegradable Material Co.,Ltd","7D17","China Mainland","Natural Supply","https://www.pharmasources.com/company-home/dingli-biodegradable-material-coltd-userId-145956.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"DONGNAN ELEVATOR CO.,LTD.","8D56","China Mainland","Clean Technology","https://www.pharmasources.com/company-home/dongnan-elevator-coltd-userId-157464.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"DongGuan Pan American Electronics Co., Ltd","8B66","China Mainland","Clean Technology","https://www.pharmasources.com/company-home/dongguan-pan-american-electronics-co-ltd-userId-157409.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"BirdoTech","9C88","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/birdotech-userId-144206.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Emeishan Hongsen Biopharmaceutical Co., Ltd.","7B60","China Mainland","Beauty & Cosmetics Supply Chain","https://www.pharmasources.com/company-home/emeishan-hongsen-biopharmaceutical-co-lt-userId-146454.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"ETUOKE DERONG ALGAE CO., LTD","7F15","China Mainland","Natural Supply","https://www.pharmasources.com/company-home/etuoke-derong-algae-co-ltd-userId-156810.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"ERDOS GREENJOY BIOTECH CO.,LTD.","7E55","China Mainland","Natural Supply","https://www.pharmasources.com/company-home/erdos-greenjoy-biotech-coltd-userId-156186.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Vitalorga (Beijing) Medical Devices Co., Ltd.","7B15-B2","China Mainland","Beauty & Cosmetics Supply Chain","https://www.pharmasources.com/company-home/vitalorga-beijing-medical-devices-co-ltd-userId-157537.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
