"logobox href","logobox src","company","text-break","p1","label 3","separate","linka","linka href","tag"
"https://online.sialchina.cn/en/exhibitorlist/14368","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","JINTAN LIMITED","W1A040","CHINA","Brand Name:","Tianle cartoon king","1268","https://visitor.sialchina.com/matching?company=JINTAN%20LIMITED",""
"https://online.sialchina.cn/en/exhibitorlist/14516","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","Henan Hengxu Food Co. , Ltd.","W4C076","CHINA","Brand Name:","JILIANGMU","1256","https://visitor.sialchina.com/matching?company=Henan%20Hengxu%20Food%20Co.%20%2C%20Ltd.",""
"https://online.sialchina.cn/en/exhibitorlist/14514","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","Zhongfan (Zhangzhou) Food Co., LTD","N2A006","CHINA","Brand Name:","Mr.Rise","1250","https://visitor.sialchina.com/matching?company=Zhongfan%20(Zhangzhou)%20Food%20Co.%2C%20LTD",""
"https://online.sialchina.cn/en/exhibitorlist/16240","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","NANTONG WENXING FOOD CO.,LTD","E5G070","CHINA","Brand Name:","xiaoxing","1242","https://visitor.sialchina.com/matching?company=NANTONG%20WENXING%20FOOD%20CO.%2CLTD","Ready to export"
"https://online.sialchina.cn/en/exhibitorlist/14503","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","EASAIL (SHANGHAI) INTERNATIONAL TRADING COMPANY LTD.","N2C076","CHINA","Brand Name:","Barilla, Mission, Cirio, La Molisana, Hero, Kotanyi, Tulip, Dilmah","1213","https://visitor.sialchina.com/matching?company=EASAIL%20(SHANGHAI)%20INTERNATIONAL%20TRADING%20COMPANY%20LTD.",""
"https://online.sialchina.cn/en/exhibitorlist/14541","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","ZHANGZHOU INTEGRITY FOODS CO., LTD","E1A013","CHINA","","","1212","https://visitor.sialchina.com/matching?company=ZHANGZHOU%20INTEGRITY%20FOODS%20CO.%2C%20LTD","Ready to export"
"https://online.sialchina.cn/en/exhibitorlist/16747","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","Shanxi Mount Wutai Tianyu Agricultural Development Co., Ltd","E5E062","CHINA","Brand Name:","limai","1201","https://visitor.sialchina.com/matching?company=Shanxi%20Mount%20Wutai%20Tianyu%20Agricultural%20Development%20Co.%2C%20Ltd",""
"https://online.sialchina.cn/en/exhibitorlist/14801","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","Heilongjiang Cuihua Group Co., Ltd","N1A019","CHINA","Brand Name:","Cuihua Pickled Chinese cabbage","1193","https://visitor.sialchina.com/matching?company=Heilongjiang%20Cuihua%20Group%20Co.%2C%20Ltd","Ready to export"
"https://online.sialchina.cn/en/exhibitorlist/15498","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","KEMET FOR NATURAL FOOD","W2B080","EGYPT","Brand Name:","Pretzo","1192","https://visitor.sialchina.com/matching?company=KEMET%20FOR%20NATURAL%20FOOD",""
"https://online.sialchina.cn/en/exhibitorlist/14564","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","SHANDONG JINGNAN FOODS CO.,LTD","W1G062","CHINA","","","1186","https://visitor.sialchina.com/matching?company=SHANDONG%20JINGNAN%20FOODS%20CO.%2CLTD",""
"https://online.sialchina.cn/en/exhibitorlist/15502","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","TIANJIN LONGING INTERNATIONAL LOGISTICS CO., LTD","N4A043","CHINA","Brand Name:","Longing","1183","https://visitor.sialchina.com/matching?company=TIANJIN%20LONGING%20INTERNATIONAL%20LOGISTICS%20CO.%2C%20LTD",""
