url,Nature of Business,Location,Year of Establishment,Main Categories,Contact Person,Position,Office Address,Country/Region,Major Markets,Total Employees,Annual Turnover,Brands
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Yinzhou-Zhihao-Import-And-Export-Limited/1S00OZ94F,,Chinese Mainland,,"Arts & Crafts, Baby Toys, Balloons, Educational Toys, Gifts / Souvenirs, Toy Sporting Goods",xiaolan Chen,,"Room 1916, No.555, Middle Rili Road, Yinzhou, Ningbo, China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Noor-Fabrics-Pvt-Ltd/1S00OLQWM,,Pakistan,,"Bags, Handbags & Accessories View details Factory & Facility",Mr Rizwan Ahmed,,,Pakistan,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Pan-an-Rikang-Costume-Co-Ltd-/1S00P051S,Manufacturer,"Jinhua, Zhejiang, Chinese Mainland",2003,"Festive Supplies, Homeware & Lifestyle Essentials, Party Supplies",Ms Jing Chen,Manager,"No.58 Ying Bin Road, Shang Heng Tang, Xin Wo Street, Pan an County, Jinhua, Zhejiang, China",Chinese Mainland,"Eastern Europe, Hong Kong, North America, Scandinavia, Western Europe",51 - 100,"US$ 5,000,000 - 9,999,999 View details Factory & Facility Research & Development Quality Control",
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Pen-Star-Stationery-Co-Ltd-/1X00OW93,"Importer, Manufacturer, Wholesaler","New Taipei City, Taiwan",2001,"Gifts / Souvenirs, Gifts, Toys & Sports Supplies, Stationery",Ms Chen Ann,Sales,"3F, No. 5, Alley 11, Lane 327, Sec. 2, Chung Shan Road, Chung Ho City, Taipei Hsien 235, Taiwan",Taiwan,Worldwide,11 - 15 ODM OEM,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Pioneer-Ind-l-Corp/1X00BVPQ,Manufacturer,"New Taipei City, Taiwan",1967,"Gift Sets, Gifts / Souvenirs, Gifts, Toys & Sports Supplies, Office Equipment, Printing & Packaging, Stationery & Office Equipment, Stationery",Mr Cheng-Hua Chuang,President,"4th Fl., No.139 Sung Chiang Rd., Taipei 104, Taiwan",Taiwan,"North America, Western Europe ODM OEM",,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Pronoti-International-Inc-/1X059YNJ,"Exporter, Manufacturer","Dongguan, Guangdong, Chinese Mainland",1998,"Consumer Electronics, Gifts / Souvenirs, Gifts, Toys & Sports Supplies, Stationery, Telecommunication",Mr David Jour,General Manager,"Wu Lian Precinct, Fengguan, Dongguan, Guangdong, China.",Chinese Mainland,"Eastern Europe, Western Europe",51 - 100,"US$ 1,000,000 - 4,999,999 Certificate Name Issued By Certificate Type Valid Date Business registration - - -",
https://sourcing.hktdc.com/en/Supplier-Store/Profile/PUJIANG-SAIXIN-DECOR-LLC/1S00OZHRA,Manufacturer,"Jinhua, Zhejiang, Chinese Mainland",2019,"Festive Supplies, Homeware & Lifestyle Essentials, Lights, Party Supplies, Wedding Gifts & Accessories",Mrs SAIFEI LIN,,"208 HENGSHENG ROAD,PUJIANG",Chinese Mainland,"Australasia, Central & South America, Eastern Europe, North America, Western Europe",26 - 50,"US$ 1,000,000 - 4,999,999",SAIXIN View details Factory & Facility Research & Development Quality Control
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Qingdao-Rainbow-Packaging-Co-Ltd-/1S00O6NWP,"Manufacturer, Wholesaler","Qingdao, Shandong, Chinese Mainland",2014,"Gift Packaging, Paper Packaging",Mr wen liu,,6011 Huizhiyuan， No.117 Huizhiqiao Road Chengyang High Tech District ，Qingdao,Chinese Mainland,"Australasia, Korea, North America, Scandinavia, Western Europe",51 - 100 Certificate Name Issued By Certificate Type Valid Date FSC BV FSC 02 Jan 2024 - 31 Jan 2029,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Quanzhou-Huangjie-Light-Ind-l-Products-Co-Ltd/1X0ACEL9,"Exporter, Manufacturer","Quanzhou, Fujian, Chinese Mainland",2017,"Bags, Handbags & Accessories, Consumer Electronics, Gifts / Souvenirs, Homeware & Lifestyle Essentials",Mr Daniel Ruan,Sales Manager,"Beifeng Zhaolian Industrial Zone, No.750 Beiqing West Road, Fengze District, Quanzhou City, Fujian Province, China.",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Quanzhou-Union-Sports-Products-Co-Ltd/1S00OKNZG,,Chinese Mainland,,"Bags, Handbags & Accessories",Mr LIUBIAO Ye,,,Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Rotary-Hero-Inc/1X00B1CL,Manufacturer,"Kanagawa, Japan",1989,,Dr Hero Sugimoto,President,"Tokyo Bldg. 4B, 3-1 Sawatari, Kanagawa-Ku, Yokohama City 221-0844, Japan",Japan,"Japan, North America, Western Europe",6 - 10,"US$ 1,000,000 - 4,999,999 ODM OEM View details Factory & Facility",
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sak-Siam-Industry-Ltd-Part-/1X05CRL6,"Exporter, Manufacturer",Thailand,,"Gifts, Toys & Sports Supplies, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Jewellery & Watch, Packaging & Displaying Materials",Mr Issara Vongtavachai,General Manager,"56/11 Soi Phacharutid, Nonthaburi Road, Muang, Nonthaburi 11000, Thailand",Thailand,"Central & South America, Japan, North America",,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Saltec-International/1X08I0DN,"Exporter, Manufacturer","West Bengal, India",1996,,Mr Rajiv Killa,CEO,"215 Old China Bazar Street 2/2nd Floor, Room 1, Kolkata, Weat Bengal, Kolkata",India,Worldwide,101 - 200,"US$ 250,000 - 499,999",Saltec The Green Guys Certificate Name Issued By Certificate Type Valid Date ISO Certification - - - FIEO RCMC - - - EPCH RCMC - - - View details Factory & Facility
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shaanxi-Export-Bases-Development-Co-Ltd/1X00CHOX,Exporter,"Xi'An, Shaanxi, Chinese Mainland",2003,Homeware & Lifestyle Essentials,Mr Grant Wu,Manager,"8/F, Cultural Building, 100 Changan Road, Xian City, Shaanxi Province, China.",Chinese Mainland,"Australasia, North America, Scandinavia",11 - 15,"US$ 1,000,000 - 4,999,999 View details Factory & Facility",
