Company Name,Location,Booth,url
Happythings Design & Engineering Limited,Hong Kong,"[""Booth: 5C-C02   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK""]",/event/hkgiftspremiumfair/en/exhibitor/1S005JHAP
Heung Yau Hong Kong limited,Hong Kong,"[""Booth: 5C-C02   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK""]",/event/hkgiftspremiumfair/en/exhibitor/1S005M3VC
JY Workshop Limited,Hong Kong,"[""Booth: 5C-C02   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK""]",/event/hkgiftspremiumfair/en/exhibitor/1S005M3ER
Joe Wong Design Company,Hong Kong,"[""Booth: 5C-C02   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK""]",/event/hkgiftspremiumfair/en/exhibitor/1S005M43N
Juk Gwan On Hou,Hong Kong,"[""Booth: 5C-C02   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK""]",/event/hkgiftspremiumfair/en/exhibitor/1S005M389
Kirin Plus Lab,Hong Kong,"[""Booth: 5C-C02   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK""]",/event/hkgiftspremiumfair/en/exhibitor/1S005M3HI
Loose Labs,Hong Kong,"[""Booth: 5C-C02   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK""]",/event/hkgiftspremiumfair/en/exhibitor/1S005M33O
MTM Gifts HK Limited,Hong Kong,"[""Booth: 5C-C02   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK""]",/event/hkgiftspremiumfair/en/exhibitor/1S005JH47
PO: Selected Company Limited,Hong Kong,"[""Booth: 5C-C02   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK""]",/event/hkgiftspremiumfair/en/exhibitor/1S005JHED
Palette Code,Hong Kong,"[""Booth: 5C-C02   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK""]",/event/hkgiftspremiumfair/en/exhibitor/1S005M3A3
People On Board Social Enterprise Limited,Hong Kong,"[""Booth: 5C-C02   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK""]",/event/hkgiftspremiumfair/en/exhibitor/1S005M41T
