"item href","imgbox src","tit","p","p 2","p 3","tab","tab 2","tab 3"
"https://www.transportlogistic-china.com/exhibitor-directory/info/924","https://imgs.tl-c.cn/uploads/image/20260509/c8fd13b64b4c67b4e404b877574633fe.png","CHONGQING XCF MULTIMODAL TRANSPORT CO., LTD.","China","W2","W2.265","Logistics Services","Road / Rail Transportation","Port / Shipping Logistics"
"https://www.transportlogistic-china.com/exhibitor-directory/info/904","https://imgs.tl-c.cn/uploads/image/20260421/b964d4be495924bc03fc9dfc41114ac8.png","CiDi Inc.","China","W1","W1.111","Port / Shipping Logistics","Smart Logistics / IT Systems","Logistics Real Estate / Warehousing Parks"
"https://www.transportlogistic-china.com/exhibitor-directory/info/736","https://www.transportlogistic-china.com/_nuxt/img/default-logo.a3958e9.png","CIMC Safeway Technologies Co., Ltd.","","W3","W3.369","","",""
"https://www.transportlogistic-china.com/exhibitor-directory/info/493","https://imgs.tl-c.cn/uploads/image/20260402/994ace55b45ec5b6b3252ec0c3c59cc6.png","CIMC XINHUI","China","W4","W4.356","Road / Rail Transportation","Logistics Equipment",""
"https://www.transportlogistic-china.com/exhibitor-directory/info/339","https://imgs.tl-c.cn/uploads/image/20260312/e3ddf9ccf92daa661cdbe2d8b3423ba5.png","CIMS Global Logistics Group Limited","China","W3","W3.110","Air Cargo","Project Cargo","Port / Shipping Logistics"
"https://www.transportlogistic-china.com/exhibitor-directory/info/751","https://imgs.tl-c.cn/uploads/image/20260407/e6771dccfc32f568bfd6a11eaf103ef7.png","Cind AB","Sweden","W4","W4.612","Air Cargo","Smart Logistics / IT Systems","Logistics Services"
"https://www.transportlogistic-china.com/exhibitor-directory/info/782","https://imgs.tl-c.cn/uploads/image/20260401/e2a4949e6f8e92ecb22f282748dd5d7c.png","CJNOO Sustainable Energy","China","W1","W1.300","Port / Shipping Logistics","Logistics Real Estate / Warehousing Parks","Road / Rail Transportation"
"https://www.transportlogistic-china.com/exhibitor-directory/info/412","https://imgs.tl-c.cn/uploads/image/20260421/ddb006b0df5b6a9f45bbcb92c91593b2.png","CLIP Group","Poland","W2","W2.381","Logistics Services","Port / Shipping Logistics","Logistics Real Estate / Warehousing Parks"
"https://www.transportlogistic-china.com/exhibitor-directory/info/1019","https://www.transportlogistic-china.com/_nuxt/img/default-logo.a3958e9.png","CLK WORLDWIDE","","W3","W3.301","","",""
"https://www.transportlogistic-china.com/exhibitor-directory/info/799","https://imgs.tl-c.cn/uploads/image/20260416/f8ab9cf338ac4c8911ebdefa8399ff48.png","Cloud River Co.,Limited","China","W2","W2.148","Logistics Services","Road / Rail Transportation",""
"https://www.transportlogistic-china.com/exhibitor-directory/info/721","https://imgs.tl-c.cn/uploads/image/20260520/416497a1ec4930fbe92af8bb31301836.jpg","CMA CGM AIR CARGO","France","W5","W5.471","Air Cargo","",""
